#{"t_start": 1591703714.7763894, "env_id": "gvgai-golddigger-lvl0-v0"}
103.0,288,90249.049558
0.0,21,90252.349544
91.0,109,90269.236448
110.0,2000,90568.582221
103.0,1817,90824.774624
7.0,44,90830.910291
83.0,695,90926.617878
36.0,76,90936.929642
103.0,1032,91076.582381
40.0,52,91083.681783
0.0,43,91089.681187
108.0,520,91160.578477
91.0,1088,91335.117748
0.0,29,91339.233539
67.0,1064,91506.483306
117.0,375,91556.954638
114.0,223,91586.509588
105.0,124,91603.133466
132.0,2000,91867.292362
0.0,47,91873.421601
52.0,2000,92147.60055
80.0,1892,92432.875645
111.0,569,92518.817468
0.0,28,92523.405782
141.0,2000,92815.112261
151.0,2000,93101.113363
139.0,2000,93379.564391
143.0,2000,93647.120798
90.0,2000,93917.177377
135.0,1380,94110.513616
141.0,492,94179.985384
83.0,2000,94461.778065
0.0,28,94465.869691
19.0,40,94471.525585
141.0,588,94550.869417
73.0,377,94601.122459
0.0,20,94603.881961
135.0,504,94671.221422
146.0,2000,94938.108366
0.0,26,94941.557025
74.0,492,95007.340573
148.0,1320,95185.169986
126.0,2000,95452.769301
0.0,23,95455.952942
0.0,39,95461.33596
122.0,2000,95729.696471
136.0,1204,95898.461815
156.0,2000,96179.446344
145.0,2000,96474.9326
129.0,352,96527.15909
135.0,153,96550.597231
115.0,242,96588.523104
132.0,1062,96750.883215
3.0,83,96762.254041
-5.0,309,96810.669291
132.0,1124,96968.409805
100.0,164,96990.490181
105.0,139,97009.324909
0.0,39,97014.850039
136.0,1632,97234.545667
84.0,829,97346.691373
133.0,508,97414.361879
135.0,1658,97638.7623
135.0,1708,97872.405692
0.0,29,97876.725589
129.0,2000,98151.216919
1.0,148,98173.322281
0.0,50,98180.157427
0.0,72,98190.297923
114.0,436,98251.533996
80.0,176,98278.013406
100.0,720,98379.648965
144.0,2000,98660.351639
146.0,2000,98930.764411
146.0,1921,99189.513861
106.0,1412,99381.797382
-5.0,101,99395.922392
138.0,1526,99604.879982
124.0,1802,99850.806033
-5.0,272,99888.302874
-5.0,699,99986.398157
0.0,35,99991.481636
67.0,172,100015.955754
-5.0,17,100018.381668
108.0,232,100051.181452
137.0,2000,100330.288379
23.0,48,100337.021541
37.0,48,100343.795884
-5.0,21,100347.177875
-4.0,31,100351.273644
-5.0,23,100354.67532
158.0,2000,100625.697592
61.0,1476,100822.882058
135.0,620,100904.993546
142.0,634,100989.20564
153.0,2000,101257.198533
0.0,25,101260.61483
157.0,2000,101531.774136
144.0,319,101576.245396
151.0,512,101646.865344
123.0,2000,101944.857462
1.0,269,101986.806971
145.0,1245,102174.319845
141.0,336,102226.265311
31.0,44,102233.217494
10.0,44,102240.229689
151.0,2000,102511.904374
147.0,2000,102780.693057
136.0,488,102846.361496
118.0,1386,103034.081748
0.0,284,103072.246636
0.0,196,103098.737846
1.0,36,103103.733791
123.0,304,103144.709585
-5.0,114,103159.753015
140.0,2000,103430.980042
-5.0,468,103495.350333
19.0,60,103503.657694
71.0,132,103522.341515
141.0,1968,103786.325735
140.0,641,103872.119827
86.0,216,103901.28149
140.0,313,103943.86917
143.0,1548,104153.126252
137.0,1072,104297.193681
-5.0,18,104299.478386
58.0,108,104313.881539
133.0,380,104364.37556
134.0,328,104407.789477
-5.0,23,104410.995502
149.0,2000,104674.220493
70.0,653,104760.740802
150.0,2000,105032.577779
146.0,292,105072.572326
156.0,2000,105345.465556
116.0,979,105478.232049
10.0,96,105491.100673
-5.0,14,105492.89589
82.0,529,105564.689523
-5.0,18,105567.073472
142.0,1536,105775.845082
111.0,2000,106046.899959
-5.0,244,106079.65819
124.0,352,106127.880322
-5.0,23,106131.067145
-5.0,116,106146.620481
130.0,404,106200.568196
97.0,152,106220.801913
136.0,740,106319.524985
7.0,44,106325.800493
113.0,668,106415.041646
143.0,2000,106685.92038
-5.0,112,106702.28175
-2.0,128,106720.861587
107.0,188,106747.897642
-5.0,20,106750.853599
74.0,100,106765.405389
-5.0,20,106768.357721
147.0,2000,107055.391669
149.0,2000,107337.920465
109.0,176,107361.765258
65.0,84,107373.133561
-5.0,18,107375.416001
150.0,2000,107644.117654
4.0,207,107672.942403
150.0,2000,107944.002741
146.0,968,108072.585532
140.0,384,108123.765558
139.0,301,108163.881352
142.0,506,108231.707398
-5.0,27,108235.481516
135.0,728,108331.837475
153.0,2000,108610.112548
151.0,2000,108899.691695
-5.0,51,108906.886566
148.0,2000,109182.420574
133.0,866,109297.37619
-5.0,16,109299.586447
136.0,164,109321.245335
9.0,32,109325.509668
131.0,933,109448.328682
127.0,484,109512.253532
135.0,2000,109791.041687
64.0,508,109863.857779
84.0,96,109877.633911
73.0,780,109989.861905
151.0,2000,110274.516356
129.0,2000,110543.310363
131.0,2000,110815.432845
-5.0,19,110818.186998
133.0,2000,111108.453439
3.0,220,111141.093458
-5.0,19,111144.133964
150.0,2000,111435.448562
-3.0,20,111438.462147
3.0,28,111442.530855
134.0,2000,111724.498077
128.0,516,111797.502158
107.0,104,111812.289381
-4.0,16,111814.665588
63.0,142,111834.48141
38.0,64,111843.741855
-3.0,20,111846.653631
-2.0,20,111849.584377
131.0,1072,111999.801821
-5.0,36,112004.954479
128.0,191,112031.939569
-5.0,20,112034.943058
127.0,193,112062.845495
135.0,2000,112348.680668
0.0,77,112359.62906
136.0,1965,112641.205865
-5.0,40,112646.725662
-5.0,908,112769.095091
-4.0,92,112782.017786
-5.0,36,112787.133729
-5.0,196,112813.86993
-5.0,116,112829.621646
-5.0,172,112852.76574
-5.0,436,112911.650337
-5.0,1772,113149.982204
-5.0,148,113169.865786
-5.0,152,113190.618002
-4.0,72,113200.373665
-3.0,1608,113414.826341
-4.0,880,113532.470584
-2.0,748,113631.646161
-5.0,88,113643.358826
138.0,2000,113911.48607
-5.0,158,113933.189829
-5.0,84,113944.950603
1.0,2000,114225.557341
92.0,1554,114444.118276
-5.0,147,114463.677705
-5.0,80,114474.453896
1.0,940,114599.966085
0.0,68,114609.482975
113.0,362,114658.094027
6.0,2000,114924.324639
136.0,2000,115191.4207
-5.0,136,115209.609708
0.0,313,115251.213519
0.0,976,115380.982546
-5.0,87,115392.669849
28.0,1050,115531.634161
0.0,1020,115667.918686
-5.0,36,115672.833706
133.0,2000,115942.344268
-5.0,36,115947.234477
135.0,668,116036.729609
136.0,523,116107.210475
-5.0,60,116115.250747
0.0,24,116118.541319
135.0,2000,116388.294381
140.0,2000,116656.024411
-5.0,800,116761.718142
135.0,1284,116937.458006
-5.0,148,116958.301981
139.0,1060,117107.370171
133.0,392,117162.542681
150.0,1360,117353.125577
135.0,451,117416.484893
19.0,220,117446.902884
31.0,52,117453.972067
48.0,196,117480.235165
132.0,1032,117618.134257
-5.0,1572,117828.259825
1.0,40,117833.678013
135.0,168,117856.057311
132.0,150,117876.026236
131.0,496,117942.100186
130.0,797,118050.166173
131.0,1628,118281.637758
-5.0,36,118286.838154
136.0,504,118358.569398
124.0,244,118393.918875
17.0,60,118402.605835
-5.0,18,118405.004091
133.0,892,118533.474766
0.0,20,118536.453602
3.0,28,118540.536921
138.0,2000,118812.802821
-5.0,172,118835.629911
89.0,224,118865.417492
146.0,2000,119130.280547
144.0,2000,119397.688736
0.0,26,119401.502287
20.0,48,119408.041512
107.0,1740,119641.361987
-5.0,21,119644.16952
124.0,1100,119792.401849
135.0,2000,120063.4497
-5.0,639,120149.03071
132.0,2000,120417.053741
-5.0,23,120420.05457
-5.0,21,120423.269634
-5.0,20,120426.073571
76.0,349,120474.878693
145.0,2000,120756.196555
129.0,1016,120899.276779
0.0,524,120973.054061
138.0,388,121027.783673
10.0,36,121032.961987
69.0,2000,121316.203983
144.0,344,121364.772489
43.0,60,121373.231658
0.0,22,121376.25275
-4.0,20,121379.133776
-5.0,28,121383.201757
144.0,1064,121533.817735
153.0,2000,121819.293534
0.0,24,121822.941681
153.0,2000,122109.708324
0.0,52,122117.422358
152.0,1154,122280.952111
136.0,388,122334.354595
121.0,1568,122549.290899
1.0,284,122588.335413
116.0,1596,122808.329885
-4.0,22,122811.2324
147.0,1612,123041.426054
-5.0,20,123044.383002
-5.0,20,123047.38317
50.0,76,123058.526557
127.0,668,123154.662149
148.0,2000,123442.234975
114.0,628,123533.186706
103.0,124,123550.861546
122.0,188,123577.723346
150.0,2000,123864.567449
148.0,1784,124115.301813
-2.0,44,124121.305655
150.0,446,124181.16785
0.0,21,124183.981008
99.0,260,124218.6095
151.0,2000,124484.326043
143.0,839,124595.863353
144.0,860,124710.204652
-2.0,45,124716.194349
147.0,260,124751.649316
156.0,2000,125015.980388
81.0,824,125125.149829
143.0,372,125174.401496
124.0,212,125202.717615
150.0,2000,125476.595278
143.0,1748,125717.179013
0.0,24,125720.553672
149.0,1772,125959.967721
-5.0,1446,126153.686649
12.0,116,126169.389758
0.0,20,126172.193635
148.0,612,126254.181426
150.0,2000,126522.231645
154.0,2000,126790.059916
103.0,524,126859.741665
146.0,1324,127037.261764
93.0,2000,127312.173008
141.0,537,127386.329722
127.0,548,127461.337558
127.0,574,127539.897222
0.0,52,127547.069879
128.0,1516,127755.037477
1.0,20,127757.865716
16.0,1847,128009.222759
49.0,572,128088.285128
1.0,28,128093.190655
151.0,2000,128363.102158
131.0,2000,128628.344532
149.0,1340,128806.081943
148.0,1076,128950.021801
144.0,317,128992.107647
121.0,1135,129142.971087
139.0,764,129244.68139
148.0,263,129280.14438
66.0,768,129381.969994
153.0,2000,129649.647348
141.0,199,129676.297189
141.0,348,129722.741374
136.0,193,129748.510697
138.0,308,129790.466672
154.0,2000,130063.332582
0.0,28,130067.767521
151.0,2000,130384.241549
150.0,2000,130685.221738
149.0,2000,130967.783161
0.0,119,130985.118531
106.0,1720,131225.94982
124.0,1052,131367.669786
113.0,368,131418.657511
0.0,23,131421.574296
142.0,1788,131662.973905
0.0,33,131668.037624
116.0,1132,131819.537618
152.0,2000,132085.582001
125.0,823,132194.769852
-5.0,46,132201.141807
110.0,140,132221.673438
15.0,2000,132490.437507
129.0,2000,132755.093517
-5.0,197,132781.120331
100.0,124,132797.593713
113.0,596,132876.633659
17.0,164,132898.502038
130.0,444,132957.273345
137.0,2000,133223.432353
25.0,700,133317.446564
0.0,20,133320.17785
59.0,102,133334.230709
12.0,36,133339.225699
153.0,2000,133608.801917
61.0,144,133628.821981
19.0,40,133634.433449
94.0,168,133657.60148
3.0,28,133661.527223
0.0,23,133664.465599
123.0,758,133768.626646
131.0,504,133837.271292
124.0,304,133878.881362
128.0,188,133904.485604
11.0,28,133908.397627
-5.0,21,133911.26812
133.0,2000,134183.812448
137.0,1015,134319.204633
26.0,52,134326.133487
143.0,668,134414.589628
143.0,1432,134603.702824
148.0,2000,134868.966227
83.0,263,134907.257587
144.0,252,134942.053511
143.0,1060,135088.090822
-5.0,20,135091.057836
-5.0,16,135093.760785
134.0,964,135225.333795
149.0,2000,135496.848226
-5.0,344,135543.742207
0.0,352,135592.265778
139.0,942,135719.353386
0.0,21,135722.128479
93.0,632,135807.745904
1.0,204,135835.576321
126.0,2000,136105.084651
39.0,68,136114.234196
137.0,521,136184.221399
75.0,176,136207.869317
149.0,2000,136475.091971
144.0,1564,136684.893652
116.0,140,136703.849841
42.0,64,136712.589891
149.0,2000,136981.8922
142.0,371,137031.429862
13.0,1808,137278.86755
-5.0,360,137330.550402
133.0,1740,137580.526596
149.0,2000,137867.443579
140.0,484,137936.938487
139.0,268,137976.402813
148.0,2000,138262.44838
-5.0,18,138265.335148
115.0,452,138330.119651
122.0,204,138359.277924
143.0,340,138407.917555
95.0,2000,138676.596463
0.0,20,138679.377617
95.0,204,138706.749679
-5.0,20,138709.505749
147.0,1364,138891.669655
139.0,540,138964.225175
-5.0,84,138975.497656
67.0,168,138998.003065
-5.0,188,139034.9928
25.0,1692,139188.213632
1.0,1128,139338.649165
36.0,778,139442.505741
-4.0,414,139497.793104
-4.0,690,139589.874428
-5.0,124,139606.557628
-2.0,132,139624.241671
-2.0,145,139644.147022
16.0,679,139739.553863
-5.0,102,139753.684524
59.0,2000,140034.770347
-5.0,292,140076.2978
-5.0,165,140099.913763
52.0,1852,140355.312652
-5.0,364,140404.629872
-5.0,272,140441.301915
-3.0,250,140474.423376
-5.0,121,140490.58975
-5.0,154,140511.473688
-5.0,172,140534.446247
1.0,301,140574.392536
71.0,2000,140842.23414
5.0,308,140890.543494
12.0,540,140972.031691
0.0,80,140984.749923
44.0,1210,141170.867732
2.0,776,141288.655209
10.0,795,141408.715297
-4.0,268,141446.356017
-5.0,500,141516.304535
-5.0,160,141538.576847
51.0,2000,141819.916568
13.0,2000,142097.466804
99.0,2000,142370.504643
-5.0,292,142410.61797
-5.0,417,142468.018082
-5.0,64,142476.890267
6.0,772,142582.553951
-5.0,212,142611.566034
5.0,664,142702.606419
109.0,2000,142977.231215
-5.0,426,143035.323353
-5.0,140,143054.67456
-5.0,160,143077.142147
-5.0,156,143099.077114
-5.0,164,143122.872529
-5.0,340,143169.553823
-5.0,180,143194.354199
-5.0,142,143214.065629
0.0,121,143230.740871
1.0,401,143284.108171
-5.0,100,143297.481701
11.0,1666,143519.618871
18.0,776,143623.298211
19.0,332,143667.873866
12.0,340,143713.697894
17.0,940,143839.750331
110.0,2000,144116.469774
-5.0,55,144123.887483
-5.0,199,144151.634236
15.0,210,144180.910597
-5.0,149,144201.544405
9.0,369,144252.389923
82.0,1519,144468.757074
19.0,468,144536.018087
10.0,264,144573.662208
-2.0,120,144591.445899
118.0,1804,144910.405336
10.0,332,144969.936115
70.0,2000,145288.274637
-5.0,202,145315.6572
26.0,1488,145519.587442
-5.0,289,145572.100012
-5.0,100,145590.235721
-5.0,173,145621.245769
0.0,240,145655.67456
-5.0,324,145699.789991
-5.0,257,145734.784935
-5.0,142,145754.401816
1.0,260,145789.985866
1.0,92,145802.665725
6.0,1428,145998.358357
3.0,148,146020.442888
-5.0,535,146095.986388
-4.0,708,146197.467464
52.0,836,146315.334431
25.0,791,146427.186194
40.0,1183,146594.297902
4.0,1976,146871.483101
-4.0,148,146892.229783
-5.0,700,146990.023731
9.0,557,147068.559567
-5.0,59,147077.161992
17.0,687,147173.813923
-5.0,452,147237.098394
-2.0,100,147251.266863
16.0,2000,147523.204493
-5.0,336,147567.962325
-5.0,184,147593.16572
19.0,2000,147858.798457
-5.0,179,147882.742539
-5.0,140,147901.549722
-5.0,228,147932.149738
-5.0,484,147997.427
19.0,711,148093.189231
14.0,346,148140.126339
-4.0,104,148154.235117
55.0,947,148281.625959
16.0,125,148298.869983
51.0,2000,148568.908072
-5.0,452,148629.961943
1.0,238,148661.822943
101.0,2000,148929.996597
-5.0,180,148954.28176
44.0,2000,149220.700546
-5.0,84,149232.082036
-5.0,257,149266.701166
10.0,912,149388.206928
-5.0,196,149414.389768
7.0,253,149448.433701
-5.0,281,149485.755985
-5.0,337,149530.30492
38.0,2000,149795.976347
-2.0,180,149820.073732
-5.0,300,149860.433779
-5.0,55,149867.990185
-5.0,35,149873.005876
-5.0,388,149925.294178
-5.0,341,149971.666837
-5.0,159,149993.289819
-5.0,88,150005.245814
7.0,2000,150275.329684
-5.0,36,150280.293703
-5.0,210,150308.444426
-5.0,554,150384.162334
-4.0,124,150401.393751
-5.0,259,150436.833779
-5.0,906,150560.966682
-5.0,1092,150708.946505
22.0,524,150779.421981
27.0,2000,151062.246009
-5.0,1228,151238.874909
19.0,912,151369.402251
26.0,2000,151647.962379
13.0,284,151686.089869
45.0,1768,151924.362829
53.0,2000,152195.509109
-2.0,60,152204.085926
82.0,2000,152484.86474
-1.0,164,152507.904159
-2.0,271,152545.985767
-2.0,424,152605.498122
13.0,2000,152888.824873
-5.0,115,152907.179919
25.0,2000,153177.681734
12.0,1791,153421.497593
3.0,140,153441.16638
24.0,2000,153721.828437
-5.0,89,153734.267179
-5.0,166,153757.789602
-5.0,572,153837.4465
-5.0,140,153857.217619
25.0,2000,154139.16039
-2.0,180,154164.551608
4.0,1826,154423.936744
-5.0,551,154502.452744
25.0,1476,154701.802272
-5.0,219,154731.307831
0.0,1632,154951.134631
-5.0,30,154955.125728
24.0,1436,155149.538464
-2.0,928,155280.085772
13.0,700,155378.527622
20.0,1867,155641.807437
28.0,708,155740.530848
-5.0,340,155785.685779
-2.0,62,155794.193758
0.0,32,155798.562007
-5.0,185,155823.136866
1.0,316,155865.177845
4.0,1660,156085.246585
-5.0,36,156090.125682
0.0,737,156187.753159
-2.0,756,156288.690596
-5.0,20,156291.441715
-5.0,22,156294.677663
2.0,1723,156525.058591
29.0,820,156634.254307
7.0,340,156679.805934
-5.0,188,156704.926177
-5.0,152,156725.237803
1.0,256,156759.530143
14.0,2000,157027.21143
49.0,2000,157297.00444
-5.0,574,157373.806745
-5.0,504,157440.970484
-5.0,100,157454.285956
-5.0,564,157529.418009
-5.0,474,157595.787181
-5.0,18,157598.616155
-5.0,204,157627.34199
-5.0,552,157704.522505
-5.0,443,157766.882876
-2.0,110,157782.152821
-5.0,132,157800.785828
-5.0,708,157899.926076
-5.0,776,158010.461157
-5.0,17,158012.7953
-5.0,1449,158216.766757
1.0,100,158231.019394
-5.0,756,158337.542558
0.0,2000,158620.749997
-5.0,269,158658.703547
19.0,2000,158928.608378
-5.0,22,158931.489054
15.0,2000,159198.08999
-5.0,142,159217.425153
-5.0,476,159281.351395
-5.0,828,159392.966297
-5.0,1184,159551.398982
4.0,1112,159700.686793
1.0,2000,159978.880956
-5.0,788,160100.062812
-5.0,266,160142.124885
1.0,1819,160418.152339
-5.0,51,160426.34575
1.0,1792,160676.974275
-5.0,68,160686.153919
-5.0,808,160794.538611
-5.0,201,160821.473101
-5.0,792,160927.402218
46.0,1784,161169.506559
-5.0,1284,161354.549309
2.0,999,161497.95548
-5.0,612,161585.470464
15.0,2000,161865.124506
6.0,2000,162140.004494
3.0,2000,162411.828472
2.0,1108,162561.503822
-5.0,284,162599.38363
-5.0,1273,162769.458684
4.0,2000,163035.308451
33.0,2000,163300.621438
-1.0,220,163329.977752
12.0,2000,163597.470294
10.0,588,163676.094331
-4.0,1957,163939.202579
-5.0,264,163974.585928
-5.0,196,164001.05821
-5.0,416,164057.233892
24.0,1728,164296.954823
2.0,2000,164577.725682
1.0,976,164714.538407
-5.0,160,164736.649641
14.0,2000,165005.41235
13.0,1300,165180.098521
43.0,2000,165450.222122
-5.0,903,165571.993258
-5.0,724,165669.234961
-5.0,150,165689.685754
0.0,2000,165961.711618
13.0,2000,166249.313704
-5.0,1204,166423.507724
1.0,178,166448.978633
-2.0,52,166456.48954
-5.0,134,166476.039315
33.0,1116,166630.454769
-5.0,396,166683.453999
-5.0,220,166713.19772
-5.0,36,166718.101839
-2.0,356,166766.073903
15.0,2000,167033.887288
40.0,2000,167302.871392
-5.0,1212,167464.350406
27.0,2000,167730.21077
-4.0,1296,167909.222635
-5.0,245,167943.003601
-5.0,1296,168122.849831
-5.0,1573,168337.997737
0.0,2000,168609.880457
-5.0,316,168652.650182
-5.0,878,168771.882586
-5.0,217,168801.424752
15.0,2000,169072.496317
-5.0,313,169114.787447
-5.0,368,169164.606007
-5.0,1188,169325.214362
-5.0,135,169344.460084
2.0,788,169451.310171
4.0,1972,169714.339312
-5.0,410,169768.502222
-5.0,927,169892.129137
10.0,1044,170031.902196
-5.0,240,170064.190786
-5.0,1274,170236.910933
-5.0,76,170247.245759
-5.0,384,170299.174428
28.0,1024,170437.318313
-4.0,664,170526.622089
4.0,796,170634.41469
-5.0,260,170669.650298
-5.0,1224,170835.908645
-5.0,240,170868.230481
13.0,2000,171137.682269
33.0,2000,171407.287556
8.0,2000,171678.206325
29.0,2000,171948.609108
12.0,1052,172090.762226
-5.0,772,172195.022846
0.0,1936,172454.338245
4.0,376,172504.949924
32.0,2000,172772.577293
-4.0,1169,172928.400984
31.0,2000,173194.804416
-4.0,1224,173359.842894
-5.0,148,173380.645894
-5.0,76,173390.969656
-5.0,736,173490.552458
-2.0,1420,173681.762745
-5.0,192,173707.62003
-5.0,389,173759.83955
-5.0,536,173833.263482
-5.0,781,173937.761638
16.0,2000,174207.172346
4.0,2000,174485.429126
35.0,2000,174772.948638
15.0,2000,175052.630745
-5.0,1520,175256.926201
1.0,708,175352.458181
-5.0,1034,175491.300072
34.0,2000,175758.844319
-5.0,288,175797.470063
1.0,2000,176064.332747
-5.0,380,176116.7511
1.0,304,176158.297365
-3.0,1052,176302.909292
-5.0,68,176312.311453
-5.0,272,176349.421841
-5.0,424,176407.15525
42.0,2000,176678.278627
40.0,2000,176947.428467
-5.0,1048,177087.926424
-4.0,1452,177282.198308
-5.0,367,177331.447567
-5.0,1871,177583.914399
-5.0,464,177647.054905
27.0,2000,177916.350429
39.0,2000,178205.678122
-5.0,1014,178353.560477
-5.0,224,178386.134466
0.0,2000,178664.228976
0.0,36,178669.154517
15.0,2000,178938.088696
-5.0,768,179040.638191
-5.0,226,179070.741528
2.0,2000,179341.166622
-3.0,1880,179600.578381
-5.0,612,179684.829974
-5.0,146,179705.159909
-5.0,30,179709.15951
-5.0,743,179823.802771
33.0,2000,180124.616595
-5.0,692,180228.890249
-5.0,1852,180497.771342
25.0,1556,180718.506206
-4.0,1324,180907.413961
-5.0,172,180931.921889
-5.0,321,180976.178417
9.0,2000,181253.923809
-5.0,260,181289.825384
8.0,532,181362.96939
-5.0,572,181441.831328
